id,member_num,,gender1,grade1,school1,major1,class1,,gender2,grade2,school2,major2,class2,,gender3,grade3,school3,major3,class3,试题编号,初审结果,average_gpa,学院差异性,性别多样性,专业多样性,ISC,DNC,HT,分类初审结果
1,3,,男,2023,商学院,数据科学-营销管理,23级商学院营销管理-数据科学双学位实验班,,男,2023,统计学院,数据科学-营销管理,23级统计学院数据科学-营销管理双学位实验班,,男,2023,统计学院,应用经济-数据科学,23级统计学院应用经济-数据科学双学位实验班,B,北京二等奖,3.733333333,0.32260927,0,0.636514168,0.318267003,3,0,市级奖项
2,3,,女,2023,统计学院,统计学类,1,,男,2023,统计学院,统计学类,4,,女,2023,统计学院,统计学类,1,C,成功参赛,3.15,0,0.636514168,0,0.367491626,0,0.318257084,成功参赛（未获奖）
3,3,,男,2022,统计学院,应用统计学,统计三班,,男,2022,统计学院,应用统计学,本科四班,,男,2022,财政金融学院,金融工程,金融一班,B,成功参赛,3.11,0.165689564,0,0.636514168,0.330221927,3,0,成功参赛（未获奖）
4,3,,男,2022,统计学院,应用统计学,统计学院本科2202班,,男,2022,高瓴人工智能学院,人工智能,人工智能拔尖班,,男,2022,信息学院,计算机,图灵班,C,北京二等奖,3.483333333,0.522195707,0,1.098612289,0.5495291,2,0,市级奖项
5,3,,男,2021,化学与生命资源学院,环境科学与工程,21级环境科学与工程本科班,,男,2021,心理学院,心理,2021级心理系本科班,,男,2021,物理学院,物理,2021级物理本科班,,未提交,3.393333333,0.936304877,0,1.098612289,0.593009202,3,0,未获奖
6,3,,男,2023,财政金融学院,财政学,财政金融学院23级本科财税班,,男,2023,财政金融学院,财政学-数学,财政金融学院23本科财数班,,男,2023,信息学院,计算机,信息学院23级本科计算机类班,B,北京一等奖,3.593333333,0.583133457,0,1.098612289,0.549653226,4.5,0,市级奖项
7,3,,女,2023,财政金融学院,金融学类,金融三班,,女,2023,财政金融学院,金融学类,金融三班,,女,2023,财政金融学院,金融学类,金融三班,C,成功参赛,3.846666667,0,0,0,0,0,0,成功参赛（未获奖）
8,3,,男,2022,高瓴人工智能学院,人工智能,2022级人工智能拔尖班,,男,2022,数学学院,数学拔尖人才实验班,2022级1班,,男,2022,统计学院,应用统计,2022级本科3班,C,北京一等奖,3.343333333,0.269208672,0,1.098612289,0.572615728,1,0,市级奖项
9,3,,男,2023,数学学院,数学与应用数学,理科试验班1班,,男,2023,信息学院,计算机,图灵班,,男,2023,信息学院,计算机,图灵班,C,成功参赛,3.026666667,0.163410315,0,0.636514168,0.330575376,3,0,成功参赛（未获奖）
10,3,,男,2023,劳动人事学院,人力资源管理,人管2班,,女,2023,经济学院,经济学类,本科4班,,女,2023,商学院,工商管理类,本科2班,C,违纪,3.656666667,0.591342495,0.636514168,1.098612289,0.280742408,0,0.318257084,未获奖
11,3,,男,2023,统计学院,统计学类,本科二班,,男,2023,统计学院,统计学类,本科二班,,男,2023,统计学院,统计学类,本科四班,C,北京二等奖,3.7,0,0,0,0,0,0,市级奖项
